PDB Penggunaan (Seri 2010),[Seri 2010] PDB menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harga Konstan 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,,2010,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV
1. Pengeluaran Konsumsi Rumahtangga,1483314.23,1386683.97,-,-,1442556.43,1467601.08,1512795.69,1513446.35,1373615.87,1395315.57,1440665.61,1441857.14,1308761.65,1326685.98,1372039.98,1372141.03,1247309.52,1264230.04,1307794.26,1306974.15,1188361.91,1202958.28,1245315.92,1244994.55,1131854.55,1146012.15,1186520,1186631.74,1075566.19,1089835.21,1128699.25,1129316.25,1017752.39,1034180.15,1071689.62,1072165.45,964261.9,980156.57,1016155.36,1016714.74,926097.5,937226.82,959649.86,963088.73
"a. Makanan dan Minuman, Selain Restoran",557271.38,535309.08,-,-,530680.73,539118.68,556717.17,552602.57,503857.9,512474.25,529905.39,525883.05,479197.04,486016.27,503628.24,500419.79,455811.25,462157.42,478101.47,475124.06,433070,438593.71,453522.03,451111.44,410973.46,415635.89,430515.82,428059.38,393928.44,397643.44,410500.46,410766.46,378037.27,381432.42,392516.77,393649.06,363670.38,367145.02,379221.16,379508.62,359662.22,361890.62,364944.41,371102.15
"b. Pakaian, Alas Kaki dan Jasa Perawatannya",54719.05,55075.54,-,-,56593.49,58055.58,57872.68,58398.5,54167.87,55354.05,55667,56281.16,51573.29,53353.19,53366.28,54053.19,49913.98,51390.8,52210.55,51898.67,48367.46,49471.88,50644.33,50248.86,46471.1,47122.05,48586.21,48189.81,44187.05,44726.05,46772.05,46325.05,41828.68,42551.13,44587.19,43911.37,39343.59,39887.97,41852.42,41266.16,37377.43,38019.27,40226.21,38599.32
c. Perumahan dan Perlengkapan Rumahtangga,202693.58,202286.6,-,-,194292.92,197614.36,200559.04,203909.89,186126.38,188640.48,191843.26,194321.62,177712.27,179575.61,184034.52,185914.7,170841.51,172785.77,176483.73,177889.51,162917.24,164669.52,168930.26,170290.36,155560.17,156887.17,161304.18,162472.98,147141.16,149444.17,155373.17,156468.17,137645.4,141726.37,147289.45,148382.78,129959.07,133798.32,139336.73,140087.02,125337.42,127980.92,131104.94,131896.49
d. Kesehatan dan Pendidikan,108946.71,104128.15,-,-,101012.98,102066.59,107270.27,107293.81,95709.71,96019.11,100112.7,99945.14,90929.28,91658.03,95104.38,95437.7,85669.83,87278.19,90430.75,90443.94,81277.97,82575.17,85750.33,85876.21,76980.09,78309.55,81226.71,81637.88,72740.08,74282.08,77041.09,76728.09,68648.19,70398.64,72851.5,72610.21,64783.33,66442.31,68885.68,68722.42,61439.94,63021.83,65979.17,64835.95
e. Transportasi dan Komunikasi,351048.21,308727.19,-,-,357097.31,364626.4,376655.11,376306.41,339684.47,347008.27,360115.74,360562.49,323737.42,328325.83,341798.9,340511.95,307373.81,311036.38,324001.99,323758.05,292371.54,295886.08,307674.38,307285.39,278595.95,282935.51,293299.91,293468.33,264218.29,267676.3,277156.31,276271.31,247354.46,250779.48,259572.82,260392.45,231997.69,234733.71,243265.51,243676.97,218505.28,220780,228141.42,227470.96
f. Restoran dan Hotel,138547.51,114902.87,-,-,135259.46,137655.34,143608.44,145444.43,128035.06,129564.41,135759,136985.44,121105.38,123186.02,128240.03,129539.42,114753.86,116506.14,122112.55,122991.18,108923.75,110331.06,115745.94,116792.22,103762.72,105186.91,110302.1,110998.29,96787.11,99005.11,103867.12,103662.12,91458.41,94004.39,98903.03,97000.79,84904.49,87391.93,92300.78,91271.29,82558.23,83522.52,86512.6,84564.53
g. Lainnya,70087.8,66254.53,-,-,67619.54,68464.13,70112.98,69490.74,66034.47,66255,67262.52,67878.25,64506.97,64571.02,65867.63,66264.3,62945.29,63075.34,64453.21,64868.75,61433.96,61430.86,63048.66,63390.07,59511.07,59935.07,61285.07,61805.07,56564.06,57058.06,57989.06,59095.07,52779.98,53287.72,55968.86,56218.79,49603.35,50757.32,51293.07,52182.27,41216.99,42011.66,42741.11,44619.32
2. Pengeluaran Konsumsi LNPRT,32590.85,32338.16,-,-,34339.64,35057.62,33223.42,33353.16,29359.57,30409.37,30932.53,32215.37,27155.66,27957.74,28479.96,29071,25126.25,25759.71,26858.46,27617.86,23612.49,24135.73,25179.85,25871.92,25682,26228,23627,23883,20854,21424,22340,24000,19578.39,20129.08,20937.46,21273.69,18435.36,18834.85,19574.75,19945.38,17615.77,17901.91,18489.86,18751.33
