income_group,date,consumer_confidence_index
1_2,2012-01-01,122.2863953061973
1_2,2012-02-01,116.24684402909145
1_2,2012-03-01,112.79866823345083
1_2,2012-04-01,109.8370552353355
1_2,2012-05-01,112.70436622427391
1_2,2012-06-01,120.2907328891581
1_2,2012-07-01,122.54667965280458
1_2,2012-08-01,124.75382349472774
1_2,2012-09-01,126.2281256588657
1_2,2012-10-01,124.89899396918779
1_2,2012-11-01,122.25170583775588
1_2,2012-12-01,121.31312207259954
1_2,2013-01-01,123
1_2,2013-02-01,122.8
1_2,2013-03-01,125.9
1_2,2013-04-01,115.9
1_2,2013-05-01,118.1
1_2,2013-06-01,122.2
1_2,2013-07-01,117.1
1_2,2013-08-01,117.8
1_2,2013-09-01,117.8
1_2,2013-10-01,117.9
1_2,2013-11-01,119.3
1_2,2013-12-01,118.7
1_2,2014-01-01,121.7
1_2,2014-02-01,120.2
1_2,2014-03-01,124.9
1_2,2014-04-01,125.3
1_2,2014-05-01,126.7
1_2,2014-06-01,125.2
1_2,2014-07-01,125.1
1_2,2014-08-01,122.9
1_2,2014-09-01,126.5
1_2,2014-10-01,122.2
1_2,2014-11-01,121
1_2,2014-12-01,120.1
1_2,2015-01-01,121.6
1_2,2015-02-01,116.1
1_2,2015-03-01,116.1
1_2,2015-04-01,106.7
1_2,2015-05-01,115.1
1_2,2015-06-01,109.7
1_2,2015-07-01,106.3
1_2,2015-08-01,114.1
1_2,2015-09-01,102.4
1_2,2015-10-01,105.1
1_2,2015-11-01,108.9
1_2,2015-12-01,110.1
1_2,2016-01-01,114.4
1_2,2016-02-01,115.7
1_2,2016-03-01,109.7
1_2,2016-04-01,107.4
1_2,2016-05-01,109
1_2,2016-06-01,113
1_2,2016-07-01,110.8
1_2,2016-08-01,108.6
1_2,2016-09-01,112.3
1_2,2016-10-01,117.2
1_2,2016-11-01,114.1
1_2,2016-12-01,116.4
1_2,2017-01-01,117.43641472811453
1_2,2017-02-01,109.6794433686311
1_2,2017-03-01,121.03935235456464
1_2,2017-04-01,125.94935296769256
1_2,2017-05-01,127.10252828866163
1_2,2017-06-01,121.72052513791128
1_2,2017-07-01,128.80244726287805
1_2,2017-08-01,123.13993421471946
1_2,2017-09-01,122.87426067541458
1_2,2017-10-01,123.01165774601148
1_2,2017-11-01,124.99903013730258
1_2,2017-12-01,129.2577971444836
1_2,2018-01-01,128.40153442788912
1_2,2018-02-01,129.72241009554847
1_2,2018-03-01,126.76412751213994
1_2,2018-04-01,123.84991888641756
1_2,2018-05-01,130.4534533932791
1_2,2018-06-01,129.53456967616995
1_2,2018-07-01,127.43531903105549
1_2,2018-08-01,120.80566342153315
1_2,2018-09-01,127.49960677113876
1_2,2018-10-01,121.56001583076471
1_2,2018-11-01,123.35014614462247
1_2,2018-12-01,130.47306785729575
1_2,2019-01-01,126.4259523804172
1_2,2019-02-01,127.8811993642068
1_2,2019-03-01,126.09185271752699
1_2,2019-04-01,129.74318966821065
1_2,2019-05-01,128.7550458434085
1_2,2019-06-01,126.4801332765235
1_2,2019-07-01,128.1201973227487
1_2,2019-08-01,123.59202392486438
1_2,2019-09-01,125.1049367916016
1_2,2019-10-01,120.5656677507942
1_2,2019-11-01,124.29114732269403
1_2,2019-12-01,128.29442271355708
1_2,2020-01-01,123.92810367862495
1_2,2020-02-01,117.0052015288112
1_2,2020-03-01,114.57845135857914
1_2,2020-04-01,85.66230517979807
1_2,2020-05-01,79.36201960702147
1_2,2020-06-01,84.73417701222544
1_2,2020-07-01,87.15771617821783
1_2,2020-08-01,85.16863173347932
1_2,2020-09-01,83.5084145050555
1_2,2020-10-01,78.21848334254224
1_2,2020-11-01,91.06286439880499
1_2,2020-12-01,95.80638056509542
1_2,2021-01-01,84.19100755283021
1_2,2021-02-01,85.89446378805482
1_2,2021-03-01,90.09610925785799
1_2,2021-04-01,100.88870727639572
1_2,2021-05-01,103.66940689982015
2.1_3,2012-01-01,120.9672159394161
2.1_3,2012-02-01,120.27843446283163
2.1_3,2012-03-01,117.03296129962483
2.1_3,2012-04-01,111.35188044064714
2.1_3,2012-05-01,116.22418879056048
2.1_3,2012-06-01,118.86676499508357
2.1_3,2012-07-01,120.09666886409501
2.1_3,2012-08-01,120.68376068376068
2.1_3,2012-09-01,124.47867874509494
2.1_3,2012-10-01,122.56669069935111
2.1_3,2012-11-01,123.23376007586535
2.1_3,2012-12-01,122.75815217391303
2.1_3,2013-01-01,123.5
2.1_3,2013-02-01,122.7
2.1_3,2013-03-01,120.1
2.1_3,2013-04-01,117.7
2.1_3,2013-05-01,116.7
2.1_3,2013-06-01,122.4
2.1_3,2013-07-01,112.6
2.1_3,2013-08-01,115.4
2.1_3,2013-09-01,113
2.1_3,2013-10-01,117.9
2.1_3,2013-11-01,116.4
2.1_3,2013-12-01,116.4
2.1_3,2014-01-01,118.8
2.1_3,2014-02-01,119.7
2.1_3,2014-03-01,121.6
2.1_3,2014-04-01,124
2.1_3,2014-05-01,123.1
2.1_3,2014-06-01,121.5
2.1_3,2014-07-01,121
2.1_3,2014-08-01,125.2
2.1_3,2014-09-01,121.1
2.1_3,2014-10-01,121.3
2.1_3,2014-11-01,121.9
2.1_3,2014-12-01,118.7
2.1_3,2015-01-01,117.5
2.1_3,2015-02-01,117.3
2.1_3,2015-03-01,118.3
2.1_3,2015-04-01,108
2.1_3,2015-05-01,108.3
2.1_3,2015-06-01,105.8
2.1_3,2015-07-01,109.5
2.1_3,2015-08-01,113.6
2.1_3,2015-09-01,102.7
2.1_3,2015-10-01,97.8
2.1_3,2015-11-01,104.8
2.1_3,2015-12-01,108.2
2.1_3,2016-01-01,111.6
2.1_3,2016-02-01,108.6
2.1_3,2016-03-01,110.9
2.1_3,2016-04-01,111
