date,place_category,change_from_baseline
2020-02-15,retail_recreation,-2
2020-02-15,grocery_pharmacy,-2
2020-02-15,parks,-8
2020-02-15,transit_stations,1
2020-02-15,workplaces,5
2020-02-15,residential,1
2020-02-15,retail_recreation_avg,NA
2020-02-15,grocery_pharmacy_avg,NA
2020-02-15,parks_avg,NA
2020-02-15,transit_stations_avg,NA
2020-02-15,workplaces_avg,NA
2020-02-15,residential_avg,NA
2020-02-16,retail_recreation,-3
2020-02-16,grocery_pharmacy,-3
2020-02-16,parks,-7
2020-02-16,transit_stations,-4
2020-02-16,workplaces,2
2020-02-16,residential,2
2020-02-16,retail_recreation_avg,NA
2020-02-16,grocery_pharmacy_avg,NA
2020-02-16,parks_avg,NA
2020-02-16,transit_stations_avg,NA
2020-02-16,workplaces_avg,NA
2020-02-16,residential_avg,NA
2020-02-17,retail_recreation,-3
2020-02-17,grocery_pharmacy,-4
2020-02-17,parks,-7
2020-02-17,transit_stations,-1
2020-02-17,workplaces,3
2020-02-17,residential,1
2020-02-17,retail_recreation_avg,NA
2020-02-17,grocery_pharmacy_avg,NA
2020-02-17,parks_avg,NA
2020-02-17,transit_stations_avg,NA
2020-02-17,workplaces_avg,NA
2020-02-17,residential_avg,NA
2020-02-18,retail_recreation,-3
2020-02-18,grocery_pharmacy,-2
2020-02-18,parks,-4
2020-02-18,transit_stations,1
2020-02-18,workplaces,2
2020-02-18,residential,1
2020-02-18,retail_recreation_avg,NA
2020-02-18,grocery_pharmacy_avg,NA
2020-02-18,parks_avg,NA
2020-02-18,transit_stations_avg,NA
2020-02-18,workplaces_avg,NA
2020-02-18,residential_avg,NA
2020-02-19,retail_recreation,-3
2020-02-19,grocery_pharmacy,-4
2020-02-19,parks,-3
2020-02-19,transit_stations,0
2020-02-19,workplaces,1
2020-02-19,residential,1
2020-02-19,retail_recreation_avg,NA
2020-02-19,grocery_pharmacy_avg,NA
2020-02-19,parks_avg,NA
2020-02-19,transit_stations_avg,NA
2020-02-19,workplaces_avg,NA
2020-02-19,residential_avg,NA
2020-02-20,retail_recreation,-2
2020-02-20,grocery_pharmacy,-1
2020-02-20,parks,-1
2020-02-20,transit_stations,4
2020-02-20,workplaces,1
2020-02-20,residential,1
2020-02-20,retail_recreation_avg,NA
2020-02-20,grocery_pharmacy_avg,NA
2020-02-20,parks_avg,NA
2020-02-20,transit_stations_avg,NA
2020-02-20,workplaces_avg,NA
2020-02-20,residential_avg,NA
2020-02-21,retail_recreation,-2
2020-02-21,grocery_pharmacy,-3
2020-02-21,parks,-5
2020-02-21,transit_stations,2
2020-02-21,workplaces,5
2020-02-21,residential,1
2020-02-21,retail_recreation_avg,-2.57
2020-02-21,grocery_pharmacy_avg,-2.71
2020-02-21,parks_avg,-5
2020-02-21,transit_stations_avg,0.43
2020-02-21,workplaces_avg,2.71
2020-02-21,residential_avg,1.14
2020-02-22,retail_recreation,0
2020-02-22,grocery_pharmacy,0
2020-02-22,parks,-5
2020-02-22,transit_stations,1
2020-02-22,workplaces,5
2020-02-22,residential,0
2020-02-22,retail_recreation_avg,-2.29
2020-02-22,grocery_pharmacy_avg,-2.43
2020-02-22,parks_avg,-4.57
2020-02-22,transit_stations_avg,0.43
2020-02-22,workplaces_avg,2.71
2020-02-22,residential_avg,1
2020-02-23,retail_recreation,-2
2020-02-23,grocery_pharmacy,-1
2020-02-23,parks,-5
2020-02-23,transit_stations,-4
2020-02-23,workplaces,3
2020-02-23,residential,1
2020-02-23,retail_recreation_avg,-2.14
2020-02-23,grocery_pharmacy_avg,-2.14
2020-02-23,parks_avg,-4.29
2020-02-23,transit_stations_avg,0.43
2020-02-23,workplaces_avg,2.86
2020-02-23,residential_avg,0.86
2020-02-24,retail_recreation,-2
2020-02-24,grocery_pharmacy,-3
2020-02-24,parks,-4
2020-02-24,transit_stations,-1
2020-02-24,workplaces,4
2020-02-24,residential,1
2020-02-24,retail_recreation_avg,-2
2020-02-24,grocery_pharmacy_avg,-2
2020-02-24,parks_avg,-3.86
2020-02-24,transit_stations_avg,0.43
2020-02-24,workplaces_avg,3
2020-02-24,residential_avg,0.86
2020-02-25,retail_recreation,-5
2020-02-25,grocery_pharmacy,-2
2020-02-25,parks,-6
2020-02-25,transit_stations,-6
2020-02-25,workplaces,-2
2020-02-25,residential,3
2020-02-25,retail_recreation_avg,-2.29
2020-02-25,grocery_pharmacy_avg,-2
2020-02-25,parks_avg,-4.14
2020-02-25,transit_stations_avg,-0.57
2020-02-25,workplaces_avg,2.43
2020-02-25,residential_avg,1.14
2020-02-26,retail_recreation,-2
2020-02-26,grocery_pharmacy,-1
2020-02-26,parks,-3
2020-02-26,transit_stations,0
2020-02-26,workplaces,3
2020-02-26,residential,0
2020-02-26,retail_recreation_avg,-2.14
2020-02-26,grocery_pharmacy_avg,-1.57
2020-02-26,parks_avg,-4.14
2020-02-26,transit_stations_avg,-0.57
2020-02-26,workplaces_avg,2.71
2020-02-26,residential_avg,1
2020-02-27,retail_recreation,0
2020-02-27,grocery_pharmacy,2
2020-02-27,parks,-3
2020-02-27,transit_stations,2
2020-02-27,workplaces,4
2020-02-27,residential,0
2020-02-27,retail_recreation_avg,-1.86
2020-02-27,grocery_pharmacy_avg,-1.14
2020-02-27,parks_avg,-4.43
2020-02-27,transit_stations_avg,-0.86
2020-02-27,workplaces_avg,3.14
2020-02-27,residential_avg,0.86
2020-02-28,retail_recreation,1
2020-02-28,grocery_pharmacy,3
2020-02-28,parks,-5
2020-02-28,transit_stations,3
2020-02-28,workplaces,5
2020-02-28,residential,1
2020-02-28,retail_recreation_avg,-1.43
2020-02-28,grocery_pharmacy_avg,-0.29
2020-02-28,parks_avg,-4.43
2020-02-28,transit_stations_avg,-0.71
2020-02-28,workplaces_avg,3.14
2020-02-28,residential_avg,0.86
2020-02-29,retail_recreation,2
2020-02-29,grocery_pharmacy,6
2020-02-29,parks,-7
2020-02-29,transit_stations,4
2020-02-29,workplaces,6
2020-02-29,residential,0
2020-02-29,retail_recreation_avg,-1.14
2020-02-29,grocery_pharmacy_avg,0.57
2020-02-29,parks_avg,-4.71
2020-02-29,transit_stations_avg,-0.29
2020-02-29,workplaces_avg,3.29
2020-02-29,residential_avg,0.86
2020-03-01,retail_recreation,1
2020-03-01,grocery_pharmacy,5
2020-03-01,parks,-8
2020-03-01,transit_stations,0
2020-03-01,workplaces,3
2020-03-01,residential,1
2020-03-01,retail_recreation_avg,-0.71
2020-03-01,grocery_pharmacy_avg,1.43
2020-03-01,parks_avg,-5.14
2020-03-01,transit_stations_avg,0.29
2020-03-01,workplaces_avg,3.29
2020-03-01,residential_avg,0.86
2020-03-02,retail_recreation,5
2020-03-02,grocery_pharmacy,12
2020-03-02,parks,0
2020-03-02,transit_stations,3
2020-03-02,workplaces,5
2020-03-02,residential,0
2020-03-02,retail_recreation_avg,0.29
2020-03-02,grocery_pharmacy_avg,3.57
2020-03-02,parks_avg,-4.57
2020-03-02,transit_stations_avg,0.86
2020-03-02,workplaces_avg,3.43
2020-03-02,residential_avg,0.71
2020-03-03,retail_recreation,3
2020-03-03,grocery_pharmacy,10
2020-03-03,parks,-2
2020-03-03,transit_stations,2
2020-03-03,workplaces,5
2020-03-03,residential,0
2020-03-03,retail_recreation_avg,1.43
2020-03-03,grocery_pharmacy_avg,5.29
2020-03-03,parks_avg,-4
2020-03-03,transit_stations_avg,2
2020-03-03,workplaces_avg,4.43
2020-03-03,residential_avg,0.29
2020-03-04,retail_recreation,0
2020-03-04,grocery_pharmacy,4
2020-03-04,parks,-5
2020-03-04,transit_stations,-1
2020-03-04,workplaces,4
2020-03-04,residential,1
2020-03-04,retail_recreation_avg,1.71
2020-03-04,grocery_pharmacy_avg,6
2020-03-04,parks_avg,-4.29
2020-03-04,transit_stations_avg,1.86
2020-03-04,workplaces_avg,4.57
2020-03-04,residential_avg,0.43
2020-03-05,retail_recreation,4
2020-03-05,grocery_pharmacy,8
2020-03-05,parks,-1
2020-03-05,transit_stations,3
2020-03-05,workplaces,4
2020-03-05,residential,0
2020-03-05,retail_recreation_avg,2.29
2020-03-05,grocery_pharmacy_avg,6.86
2020-03-05,parks_avg,-4
2020-03-05,transit_stations_avg,2
2020-03-05,workplaces_avg,4.57
2020-03-05,residential_avg,0.43
2020-03-06,retail_recreation,2
2020-03-06,grocery_pharmacy,4
2020-03-06,parks,-3
2020-03-06,transit_stations,3
2020-03-06,workplaces,6
2020-03-06,residential,1
2020-03-06,retail_recreation_avg,2.43
2020-03-06,grocery_pharmacy_avg,7
2020-03-06,parks_avg,-3.71
2020-03-06,transit_stations_avg,2
2020-03-06,workplaces_avg,4.71
2020-03-06,residential_avg,0.43
2020-03-07,retail_recreation,3
2020-03-07,grocery_pharmacy,6
2020-03-07,parks,-4
2020-03-07,transit_stations,3
2020-03-07,workplaces,6
2020-03-07,residential,0
2020-03-07,retail_recreation_avg,2.57
2020-03-07,grocery_pharmacy_avg,7
2020-03-07,parks_avg,-3.29
2020-03-07,transit_stations_avg,1.86
2020-03-07,workplaces_avg,4.71
2020-03-07,residential_avg,0.43
2020-03-08,retail_recreation,1
2020-03-08,grocery_pharmacy,4
2020-03-08,parks,-4
2020-03-08,transit_stations,-1
2020-03-08,workplaces,4
2020-03-08,residential,1
2020-03-08,retail_recreation_avg,2.57
2020-03-08,grocery_pharmacy_avg,6.86
2020-03-08,parks_avg,-2.71
2020-03-08,transit_stations_avg,1.71
2020-03-08,workplaces_avg,4.86
2020-03-08,residential_avg,0.43
2020-03-09,retail_recreation,2
2020-03-09,grocery_pharmacy,3
2020-03-09,parks,-1
2020-03-09,transit_stations,1
2020-03-09,workplaces,5
2020-03-09,residential,1
2020-03-09,retail_recreation_avg,2.14
2020-03-09,grocery_pharmacy_avg,5.57
2020-03-09,parks_avg,-2.86
2020-03-09,transit_stations_avg,1.43
2020-03-09,workplaces_avg,4.86
2020-03-09,residential_avg,0.57
2020-03-10,retail_recreation,3
2020-03-10,grocery_pharmacy,6
2020-03-10,parks,2
2020-03-10,transit_stations,1
2020-03-10,workplaces,4
2020-03-10,residential,1
2020-03-10,retail_recreation_avg,2.14
2020-03-10,grocery_pharmacy_avg,5
2020-03-10,parks_avg,-2.29
2020-03-10,transit_stations_avg,1.29
2020-03-10,workplaces_avg,4.71
2020-03-10,residential_avg,0.71
2020-03-11,retail_recreation,3
2020-03-11,grocery_pharmacy,5
2020-03-11,parks,2
2020-03-11,transit_stations,1
2020-03-11,workplaces,4
2020-03-11,residential,1
2020-03-11,retail_recreation_avg,2.57
2020-03-11,grocery_pharmacy_avg,5.14
2020-03-11,parks_avg,-1.29
2020-03-11,transit_stations_avg,1.57
2020-03-11,workplaces_avg,4.71
2020-03-11,residential_avg,0.71
2020-03-12,retail_recreation,2
2020-03-12,grocery_pharmacy,3
2020-03-12,parks,0
2020-03-12,transit_stations,1
2020-03-12,workplaces,4
2020-03-12,residential,1
2020-03-12,retail_recreation_avg,2.29
2020-03-12,grocery_pharmacy_avg,4.43
2020-03-12,parks_avg,-1.14
2020-03-12,transit_stations_avg,1.29
2020-03-12,workplaces_avg,4.71
2020-03-12,residential_avg,0.86
2020-03-13,retail_recreation,2
2020-03-13,grocery_pharmacy,3
2020-03-13,parks,-2
2020-03-13,transit_stations,1
2020-03-13,workplaces,6
2020-03-13,residential,1
2020-03-13,retail_recreation_avg,2.29
2020-03-13,grocery_pharmacy_avg,4.29
2020-03-13,parks_avg,-1
2020-03-13,transit_stations_avg,1
2020-03-13,workplaces_avg,4.71
2020-03-13,residential_avg,0.86
2020-03-14,retail_recreation,-2
2020-03-14,grocery_pharmacy,3
2020-03-14,parks,-6
2020-03-14,transit_stations,-5
2020-03-14,workplaces,5
2020-03-14,residential,1
2020-03-14,retail_recreation_avg,1.57
2020-03-14,grocery_pharmacy_avg,3.86
2020-03-14,parks_avg,-1.29
2020-03-14,transit_stations_avg,-0.14
2020-03-14,workplaces_avg,4.57
2020-03-14,residential_avg,1
2020-03-15,retail_recreation,-7
2020-03-15,grocery_pharmacy,3
2020-03-15,parks,-12
2020-03-15,transit_stations,-12
2020-03-15,workplaces,4
2020-03-15,residential,3
2020-03-15,retail_recreation_avg,0.43
2020-03-15,grocery_pharmacy_avg,3.71
2020-03-15,parks_avg,-2.43
2020-03-15,transit_stations_avg,-1.71
2020-03-15,workplaces_avg,4.57
2020-03-15,residential_avg,1.29
2020-03-16,retail_recreation,-7
2020-03-16,grocery_pharmacy,2
2020-03-16,parks,-8
2020-03-16,transit_stations,-12
2020-03-16,workplaces,-8
2020-03-16,residential,5
2020-03-16,retail_recreation_avg,-0.86
2020-03-16,grocery_pharmacy_avg,3.57
2020-03-16,parks_avg,-3.43
2020-03-16,transit_stations_avg,-3.57
2020-03-16,workplaces_avg,2.71
2020-03-16,residential_avg,1.86
2020-03-17,retail_recreation,-9
2020-03-17,grocery_pharmacy,1
2020-03-17,parks,-10
2020-03-17,transit_stations,-16
2020-03-17,workplaces,-13
2020-03-17,residential,6
2020-03-17,retail_recreation_avg,-2.57
2020-03-17,grocery_pharmacy_avg,2.86
2020-03-17,parks_avg,-5.14
2020-03-17,transit_stations_avg,-6
2020-03-17,workplaces_avg,0.29
2020-03-17,residential_avg,2.57
2020-03-18,retail_recreation,-11
2020-03-18,grocery_pharmacy,0
2020-03-18,parks,-12
2020-03-18,transit_stations,-21
2020-03-18,workplaces,-16
2020-03-18,residential,8
2020-03-18,retail_recreation_avg,-4.57
2020-03-18,grocery_pharmacy_avg,2.14
2020-03-18,parks_avg,-7.14
2020-03-18,transit_stations_avg,-9.14
2020-03-18,workplaces_avg,-2.57
2020-03-18,residential_avg,3.57
2020-03-19,retail_recreation,-16
2020-03-19,grocery_pharmacy,-5
2020-03-19,parks,-17
2020-03-19,transit_stations,-26
2020-03-19,workplaces,-17
2020-03-19,residential,9
2020-03-19,retail_recreation_avg,-7.14
2020-03-19,grocery_pharmacy_avg,1
2020-03-19,parks_avg,-9.57
2020-03-19,transit_stations_avg,-13
2020-03-19,workplaces_avg,-5.57
2020-03-19,residential_avg,4.71
2020-03-20,retail_recreation,-19
2020-03-20,grocery_pharmacy,-7
2020-03-20,parks,-21
2020-03-20,transit_stations,-31
2020-03-20,workplaces,-18
2020-03-20,residential,10
2020-03-20,retail_recreation_avg,-10.14
2020-03-20,grocery_pharmacy_avg,-0.43
2020-03-20,parks_avg,-12.29
2020-03-20,transit_stations_avg,-17.57
2020-03-20,workplaces_avg,-9
2020-03-20,residential_avg,6
2020-03-21,retail_recreation,-23
2020-03-21,grocery_pharmacy,-5
2020-03-21,parks,-30
2020-03-21,transit_stations,-33
2020-03-21,workplaces,-11
2020-03-21,residential,9
2020-03-21,retail_recreation_avg,-13.14
2020-03-21,grocery_pharmacy_avg,-1.57
2020-03-21,parks_avg,-15.71
2020-03-21,transit_stations_avg,-21.57
2020-03-21,workplaces_avg,-11.29
2020-03-21,residential_avg,7.14
2020-03-22,retail_recreation,-32
2020-03-22,grocery_pharmacy,-15
2020-03-22,parks,-39
2020-03-22,transit_stations,-42
2020-03-22,workplaces,-7
2020-03-22,residential,10
2020-03-22,retail_recreation_avg,-16.71
2020-03-22,grocery_pharmacy_avg,-4.14
2020-03-22,parks_avg,-19.57
2020-03-22,transit_stations_avg,-25.86
2020-03-22,workplaces_avg,-12.86
2020-03-22,residential_avg,8.14
2020-03-23,retail_recreation,-27
2020-03-23,grocery_pharmacy,-12
2020-03-23,parks,-25
2020-03-23,transit_stations,-41
2020-03-23,workplaces,-27
2020-03-23,residential,13
2020-03-23,retail_recreation_avg,-19.57
2020-03-23,grocery_pharmacy_avg,-6.14
2020-03-23,parks_avg,-22
2020-03-23,transit_stations_avg,-30
2020-03-23,workplaces_avg,-15.57
