category,date,retail_sales_index,pct_change_yoy
Spare parts and accessories,2012-01-01,95.46,NA
Spare parts and accessories,2012-02-01,86.88,NA
Spare parts and accessories,2012-03-01,93.03,NA
Spare parts and accessories,2012-04-01,86.91,NA
Spare parts and accessories,2012-05-01,93.11,NA
Spare parts and accessories,2012-06-01,98.54,NA
Spare parts and accessories,2012-07-01,104.06,NA
Spare parts and accessories,2012-08-01,95.66,NA
Spare parts and accessories,2012-09-01,97.12,NA
Spare parts and accessories,2012-10-01,97.54,NA
Spare parts and accessories,2012-11-01,101.31,NA
Spare parts and accessories,2012-12-01,107.18,NA
Spare parts and accessories,2013-01-01,103.83,8.77
Spare parts and accessories,2013-02-01,99.82,14.89
Spare parts and accessories,2013-03-01,110.51,18.79
Spare parts and accessories,2013-04-01,115.53,32.93
Spare parts and accessories,2013-05-01,114.16,22.61
Spare parts and accessories,2013-06-01,108.43,10.04
Spare parts and accessories,2013-07-01,100.07,-3.83
Spare parts and accessories,2013-08-01,96.1,0.46
Spare parts and accessories,2013-09-01,99.34,2.29
Spare parts and accessories,2013-10-01,95.54,-2.05
Spare parts and accessories,2013-11-01,94.08,-7.14
Spare parts and accessories,2013-12-01,106.87,-0.29
Spare parts and accessories,2014-01-01,105.71,1.81
Spare parts and accessories,2014-02-01,106.28,6.47
Spare parts and accessories,2014-03-01,107.87,-2.39
Spare parts and accessories,2014-04-01,111.38,-3.59
Spare parts and accessories,2014-05-01,109.38,-4.19
Spare parts and accessories,2014-06-01,103.87,-4.21
Spare parts and accessories,2014-07-01,111.88,11.8
Spare parts and accessories,2014-08-01,107.29,11.64
Spare parts and accessories,2014-09-01,112.98,13.73
Spare parts and accessories,2014-10-01,115.11,20.48
Spare parts and accessories,2014-11-01,108.48,15.31
Spare parts and accessories,2014-12-01,104.66,-2.07
Spare parts and accessories,2015-01-01,111.68,5.65
Spare parts and accessories,2015-02-01,107.35,1.01
Spare parts and accessories,2015-03-01,105.97,-1.76
Spare parts and accessories,2015-04-01,97.07,-12.85
Spare parts and accessories,2015-05-01,96.91,-11.4
Spare parts and accessories,2015-06-01,101.14,-2.63
Spare parts and accessories,2015-07-01,102.54,-8.35
Spare parts and accessories,2015-08-01,102.65,-4.32
Spare parts and accessories,2015-09-01,100.5,-11.05
Spare parts and accessories,2015-10-01,101.86,-11.51
Spare parts and accessories,2015-11-01,101.94,-6.03
Spare parts and accessories,2015-12-01,106.07,1.35
Spare parts and accessories,2016-01-01,109.01,-2.39
Spare parts and accessories,2016-02-01,107.61,0.24
Spare parts and accessories,2016-03-01,109.84,3.65
Spare parts and accessories,2016-04-01,110.17,13.5
Spare parts and accessories,2016-05-01,112.42,16
Spare parts and accessories,2016-06-01,125.05,23.64
Spare parts and accessories,2016-07-01,124.76,21.67
Spare parts and accessories,2016-08-01,127.16,23.88
Spare parts and accessories,2016-09-01,126.68,26.05
Spare parts and accessories,2016-10-01,125.52,23.23
Spare parts and accessories,2016-11-01,130.02,27.55
Spare parts and accessories,2016-12-01,134.93,27.21
Spare parts and accessories,2017-01-01,127.14,16.63
Spare parts and accessories,2017-02-01,119.3,10.86
